,index,Unnamed: 0,ticket_id,customer_id,activity,time,time_diff,time_diff_norm,new_guess_col,TOK_TAP_1_is_cut,TOK_MPTAP_1_is_cut,TOK_MPTAP,TAP_is_cut,TAP_discovered_case,next_activity,pair,MPTAP,MPTAP_is_cut,MPTAP_discovered_case
0,0,2017-01-03 07:12:31.000,0,0,0,1483427637.0,11.396999835968018,0.1690248651703834,False,False,False,11.396999835968018,True,0.0,1,0_1,16.368116278981052,True,0.0
1,1,2017-01-03 07:12:31.000,0,0,1,1483427648.3969998,0.2960000038146972,0.017408539756033,False,False,False,0.2960000038146972,True,1.0,2,1_2,0.258325598960699,True,1.0
2,2,2017-01-03 07:12:31.000,0,0,2,1483427648.6929998,0.5600001811981201,0.0298567385329417,False,False,False,0.5600001811981201,True,2.0,3,2_3,0.4628249704837799,True,2.0
3,3,2017-01-03 07:12:31.000,0,0,3,1483427649.253,0.2799999713897705,0.0165744754073702,False,False,False,0.2799999713897705,True,3.0,4,3_4,0.2665999889373779,True,3.0
4,4,2017-01-03 07:12:31.000,0,0,4,1483427649.533,0.6399998664855957,0.0332144839140763,False,False,False,0.6399998664855957,True,4.0,5,4_5,0.70339994430542,True,4.0
5,5,2017-01-03 07:12:31.000,0,0,5,1483427650.173,1479.8270001411438,0.490154515330397,False,True,True,1479.8270001411438,True,5.0,6,5_6,5446.33366672198,True,5.0
6,6,2017-01-03 07:12:31.000,0,0,6,1483429130.0,2776.0,0.5323709081128372,False,True,True,2776.0,True,6.0,6,6_6,1844.4444444444443,True,6.0
7,7,2017-01-03 07:12:31.000,0,0,6,1483431906.0,16.55299997329712,0.1923745787806088,False,False,False,16.55299997329712,True,7.0,7,6_7,6.008029404808493,True,7.0
8,8,2017-01-03 07:12:31.000,0,0,7,1483431922.553,765.4470000267029,0.4459359758287479,False,True,True,765.4470000267029,True,8.0,8,7_8,5300.840499997139,True,8.0
9,9,2017-01-03 07:12:31.000,0,0,8,1483432688.0,33.16300010681152,0.2370851202657908,False,False,False,33.16300010681152,True,9.0,9,8_9,8.545388884014553,True,9.0
10,10,2017-01-03 07:12:31.000,0,0,9,1483432721.163,0.3399999141693115,0.0196501789083602,False,False,False,0.3399999141693115,True,10.0,2,9_2,0.2703125327825546,True,10.0
11,11,2017-01-03 07:12:31.000,0,0,2,1483432721.503,0.3400001525878906,0.0196501908544082,False,False,False,0.3400001525878906,True,11.0,10,2_10,0.23590625077486033,True,11.0
12,12,2017-01-03 07:12:31.000,0,0,10,1483432721.8430002,0.2239999771118164,0.0135708549551858,False,False,False,0.2239999771118164,True,12.0,4,10_4,0.22566660245259598,True,12.0
13,13,2017-01-03 07:12:31.000,0,0,4,1483432722.0670002,86282.93299984932,0.7630862779074523,True,True,True,86282.93299984932,True,13.0,0,4_0,46660.360000014305,True,13.0
14,14,2017-01-04 08:33:35.000,1,0,0,1483519005.0,89.95299983024597,0.3028297433361103,False,False,False,50.674999833106995,True,14.0,1,0_1,16.368116278981052,True,14.0
15,15,2017-01-04 08:33:35.000,1,0,1,1483519094.9529998,0.2700002193450928,0.016047888315149,False,False,False,0.283000111579895,True,15.0,2,1_2,0.258325598960699,True,15.0
16,16,2017-01-04 08:33:35.000,1,0,2,1483519095.223,0.4539999961853027,0.025132177464076,False,False,False,0.5070000886917114,True,16.0,3,2_3,0.4628249704837799,True,16.0
17,17,2017-01-04 08:33:35.000,1,0,3,1483519095.677,0.2929997444152832,0.0172529267271311,False,False,False,0.2929997444152832,True,17.0,5,3_5,0.2101143360137939,True,17.0
18,18,2017-01-04 08:33:35.000,1,0,5,1483519095.9699998,66138.58000040054,0.7452350463818321,True,True,True,66138.58000040054,True,18.0,11,5_11,62031.34850013256,True,18.0
19,19,2017-01-03 07:12:31.000,0,0,11,1483585234.5500002,105016.44999980928,0.7762783865667482,True,True,True,105016.44999980928,True,19.0,0,11_0,149849.73181815582,True,19.0
20,20,2017-01-06 08:00:56.000,2,0,0,1483690251.0,5.390000104904175,0.1245290483246867,False,False,False,35.579999923706055,True,20.0,1,0_1,16.368116278981052,True,20.0
