level_0,Unnamed: 0,index,case,event,journey_id,random_distributed_time,new_trace,delay,random_distributed_time_delay,timestamp,time_diff,new_guess_col,TAP,TOK_TAP,TOK_TAP_is_cut,TOK_MPTAP_is_cut,TOK_MPTAP,TAP_is_cut,TAP_discovered_case,next_activity,pair,MPTAP,MPTAP_is_cut,MPTAP_discovered_case
0,58,58,11,A,0,1.936368465293448,True,1.0,2.936368465293448,2.936368465293448,0.368477677654643,False,0.368477677654643,0.0,False,False,-1.0,False,0.0,F,A_F,1.0032131908688748,False,0.0
1,59,59,11,F,0,0.3684776776546432,False,0.0,0.3684776776546432,3.304846142948091,1.300856029386776,False,1.300856029386776,0.9323783517321329,True,False,-0.0676216482678671,False,0.0,D,F_D,1.4835675561046475,True,0.0
2,60,60,11,D,0,1.3008560293867764,False,0.0,1.3008560293867764,4.605702172334867,1.2463673649561091,False,1.2463673649561091,-0.2253840343473783,False,False,-0.1221103126985339,False,0.0,F,D_F,0.9937878651378971,False,1.0
3,61,61,11,F,0,1.2463673649561091,False,0.0,1.2463673649561091,5.852069537290976,0.4428513393332034,False,0.4428513393332034,-1.0152507685601693,False,False,-0.7043878067469799,False,0.0,D,F_D,1.4835675561046475,True,1.0
4,62,62,11,D,0,0.4428513393332033,False,0.0,0.4428513393332033,6.29492087662418,0.0798977487270011,False,0.0798977487270011,-1.314178321768133,False,False,-1.2804513618895044,False,0.0,B,D_B,1.0289531194552268,False,2.0
5,63,63,11,B,0,0.0798977487270009,False,0.0,0.0798977487270009,6.374818625351181,0.5121930606314979,False,0.5121930606314979,-0.9272539837998544,False,False,-0.9387008937778514,False,0.0,E,B_E,0.9242013858963225,False,2.0
6,64,64,11,E,0,0.5121930606314977,False,0.0,0.5121930606314977,6.887011685982679,1.2143587448308564,False,1.2143587448308564,-0.16199305833124145,False,False,-0.13772141434397223,False,0.0,C,E_C,0.9542016898890578,False,2.0
7,65,65,11,C,0,1.2143587448308573,False,0.0,1.2143587448308573,8.101370430813535,2.1446779019554434,False,2.1446779019554434,0.7554957083014264,True,True,0.7674412491220077,True,0.0,A,C_A,1.0680429040823864,False,2.0
8,66,66,11,A,0,2.1446779019554425,False,0.0,2.1446779019554425,10.24604833276898,1.091922891144323,False,1.091922891144323,-0.5371681352810316,False,False,-0.6470363684339526,False,1.0,F,A_F,1.0032131908688748,False,2.0
9,67,67,11,F,0,1.0919228911443228,False,0.0,1.0919228911443228,11.337971223913302,1.144740262078237,True,1.144740262078237,-0.4491222159112622,False,False,-0.1752234131740693,False,1.0,F,F_F,1.2497975088439053,False,2.0
10,99,99,18,F,0,0.1447402620782363,True,1.0,1.1447402620782363,12.48271148599154,1.1853605335693975,False,1.1853605335693975,-0.38372390505438125,False,False,-0.34942360740557443,False,1.0,D,F_D,1.4835675561046475,True,2.0
11,100,100,18,D,0,1.1853605335693984,False,0.0,1.1853605335693984,13.668072019560936,3.2451405234353192,False,3.2451405234353192,1.6934532978716472,True,True,1.9399678744045397,True,1.0,A,D_A,1.1202135152728954,False,3.0
12,101,101,18,A,0,3.245140523435321,False,0.0,3.245140523435321,16.913212542996256,1.9613595053232515,False,1.9613595053232515,0.08779875975944584,True,False,-0.16458595765670703,False,2.0,F,A_F,1.0032131908688748,False,3.0
13,102,102,18,F,0,1.9613595053232529,False,0.0,1.9613595053232529,18.874572048319507,2.3356754099011248,False,2.3356754099011248,0.44285695821881976,True,True,0.007171950819867989,True,2.0,D,F_D,1.4835675561046475,True,3.0
14,103,103,18,D,0,2.3356754099011248,False,0.0,2.3356754099011248,21.210247458220632,3.659466080532866,False,3.659466080532866,1.7155788188557954,True,True,0.5325081963855265,True,3.0,B,D_B,1.0289531194552268,False,4.0
15,104,104,18,B,0,3.659466080532866,False,0.0,3.659466080532866,24.869713538753498,2.2675107119819344,False,2.2675107119819344,0.13029770954038478,True,True,0.8075747413697549,True,4.0,C,B_C,1.0851677445719075,False,4.0
